"Date","Price","Open","High","Low","Vol.","Change %"
"13/08/2018","27,867.0","28,221.0","28,266.0","27,704.0","201.64K","-1.23%"
"14/08/2018","27,637.0","27,881.0","28,024.0","27,444.0","214.99K","-0.83%"
"15/08/2018","27,231.0","27,623.0","27,728.0","27,150.0","215.69K","-1.47%"
"16/08/2018","27,044.0","27,219.0","27,366.0","26,642.0","295.77K","-0.69%"
"17/08/2018","27,136.0","27,063.0","27,332.0","27,005.0","183.08K","0.34%"
"20/08/2018","27,519.0","27,135.0","27,555.0","26,875.0","221.84K","1.41%"
"21/08/2018","27,627.0","27,519.0","27,700.0","27,432.0","187.50K","0.39%"
"22/08/2018","27,855.0","27,629.0","27,907.0","27,498.0","209.06K","0.83%"
"23/08/2018","27,687.0","27,865.0","27,982.0","27,580.0","202.77K","-0.60%"
"24/08/2018","27,595.0","27,699.0","27,782.0","27,447.0","200.22K","-0.33%"
"27/08/2018","28,252.0","27,594.0","28,273.0","27,520.0","210.85K","2.38%"
"28/08/2018","28,292.0","28,255.0","28,549.0","28,201.0","219.45K","0.14%"
"29/08/2018","28,345.0","28,285.0","28,474.0","28,190.0","139.16K","0.19%"
"30/08/2018","28,239.0","28,341.0","28,574.0","28,227.0","28.13K","-0.37%"
"31/08/2018","27,765.0","28,063.0","28,069.0","27,634.0","193.67K","-1.68%"
"03/09/2018","27,645.0","27,747.0","27,860.0","27,516.0","182.63K","-0.43%"
"04/09/2018","27,882.0","27,646.0","27,950.0","27,452.0","209.06K","0.86%"
"05/09/2018","27,104.0","27,877.0","27,877.0","27,100.0","258.15K","-2.79%"
"06/09/2018","26,986.0","27,119.0","27,224.0","26,768.0","267.99K","-0.44%"
"07/09/2018","26,835.0","26,988.0","27,165.0","26,584.0","280.54K","-0.56%"
"10/09/2018","26,631.0","26,858.0","26,892.0","26,356.0","250.76K","-0.76%"
"11/09/2018","26,305.0","26,640.0","26,711.0","26,290.0","247.15K","-1.22%"
"12/09/2018","26,341.0","26,286.0","26,436.0","26,020.0","272.07K","0.14%"
"13/09/2018","26,987.0","26,328.0","27,040.0","26,222.0","275.97K","2.45%"
"14/09/2018","27,255.0","26,983.0","27,345.0","26,959.0","254.68K","0.99%"
"17/09/2018","26,891.0","27,265.0","27,282.0","26,711.0","225.06K","-1.34%"
"18/09/2018","27,041.0","26,890.0","27,169.0","26,605.0","275.78K","0.56%"
"19/09/2018","27,411.0","27,051.0","27,494.0","27,017.0","240.23K","1.37%"
"20/09/2018","27,459.0","27,403.0","27,625.0","27,294.0","245.71K","0.18%"
"21/09/2018","27,940.0","27,456.0","27,982.0","27,456.0","282.99K","1.75%"
"24/09/2018","27,465.0","27,945.0","27,945.0","27,388.0","192.25K","-1.70%"
"26/09/2018","27,818.0","27,460.0","28,037.0","27,393.0","230.94K","1.29%"
