Date,Close,High,Low,Open,Volume,Returns
2021-08-06,26179.400390625,26276.869140625,26002.41015625,26262.970703125,1559600000,-0.0009650586604064149
2021-08-09,26283.400390625,26527.240234375,25920.849609375,25969.23046875,1585100000,0.003972589075693422
2021-08-10,26605.619140625,26610.94921875,26138.869140625,26456.609375,1735300000,0.012259401189008035
2021-08-11,26660.16015625,26822.470703125,26454.44921875,26491.740234375,2414400000,0.002049981071168494
2021-08-12,26517.8203125,26713.240234375,26385.44921875,26623.76953125,1655000000,-0.0053390468367696675
2021-08-13,26391.619140625,26521.94921875,26200.240234375,26296.189453125,1336200000,-0.00475910804084867
2021-08-16,26181.4609375,26449.7109375,26046.900390625,26365.189453125,1648300000,-0.007963065926542612
2021-08-17,25745.869140625,26258.7890625,25615.380859375,26137.900390625,2291300000,-0.016637413699519654
2021-08-18,25867.009765625,26025.140625,25708.94921875,25800.029296875,1756900000,0.004705245114791978
2021-08-19,25316.330078125,25832.919921875,25183.669921875,25787.83984375,2312900000,-0.021288880797957765
2021-08-20,24849.720703125,25244.75,24581.599609375,25241.3203125,2855800000,-0.018431161766340742
2021-08-23,25109.58984375,25458.330078125,25036.990234375,25169.44921875,2185000000,0.010457628225669424
2021-08-24,25727.919921875,25727.919921875,25361.75,25428.6796875,2052900000,0.024625256006677088
2021-08-25,25693.94921875,25982.640625,25548.470703125,25930.05078125,1716400000,-0.0013203828070109669
2021-08-26,25415.689453125,25706.619140625,25255.830078125,25673.779296875,1834100000,-0.010829777986092637
2021-08-27,25407.890625,25641.330078125,25304.619140625,25337.55078125,1528000000,-0.00030685093707116806
2021-08-30,25539.5390625,25583.58984375,25219.80078125,25406.490234375,1995600000,0.005181399725110003
2021-08-31,25878.990234375,25878.990234375,25110.720703125,25524.23046875,2918100000,0.013291201969005684
2021-09-01,26028.2890625,26101.94921875,25694.109375,25871.8203125,2181300000,0.00576911335306618
2021-09-02,26090.4296875,26359.310546875,25967.98046875,26203.51953125,2024300000,0.0023874264209524654
2021-09-03,25901.990234375,26052.810546875,25811.76953125,26022.669921875,2549400000,-0.007222550773676284
2021-09-06,26163.630859375,26176.4296875,25827.169921875,25827.169921875,1912500000,0.010101178428087332
2021-09-07,26353.630859375,26458.880859375,26135.400390625,26207.220703125,1842200000,0.007261989019078374
2021-09-08,26320.9296875,26560.0390625,26164.7890625,26396.109375,1861300000,-0.0012408602082003561
2021-09-09,25716.0,26125.08984375,25624.51953125,26076.9296875,2090800000,-0.022982838930164617
2021-09-10,26205.91015625,26205.91015625,25870.7109375,25870.7109375,2001300000,0.019050791579172444
2021-09-13,25813.810546875,25886.900390625,25570.83984375,25885.30078125,2315600000,-0.01496225878197499
2021-09-14,25502.23046875,25900.6796875,25377.830078125,25827.69921875,2399000000,-0.012070286080360204
2021-09-15,25033.2109375,25411.91015625,24990.939453125,25310.029296875,2420900000,-0.01839131411759176
2021-09-16,24667.849609375,25045.55078125,24505.2109375,25042.029296875,2499800000,-0.014595064494011267
2021-09-17,24920.759765625,24920.759765625,24424.740234375,24589.169921875,3102300000,0.010252622756135255
2021-09-20,24099.140625,24640.4296875,23871.83984375,24640.4296875,2651600000,-0.032969265317437046
2021-09-21,24221.5390625,24284.869140625,23771.4609375,23867.16015625,2079700000,0.005078954449231565
2021-09-23,24510.98046875,24827.4609375,24313.6796875,24614.140625,2711900000,0.011949752883297027
2021-09-24,24192.16015625,24636.640625,24095.7890625,24487.240234375,2014400000,-0.013007244361623038
2021-09-27,24208.779296875,24509.0,24131.419921875,24131.419921875,2323600000,0.0006869638972981651
2021-09-28,24500.390625,24679.4609375,24232.98046875,24323.0,2457900000,0.012045684937226131
2021-09-29,24663.5,24694.4609375,24045.990234375,24276.7109375,2150200000,0.0066574193651249836
2021-09-30,24575.640625,24660.6796875,24346.75,24494.259765625,1580400000,-0.0035623238794169065
2021-10-04,24036.369140625,24478.6796875,23908.05078125,24478.6796875,1596300000,-0.021943333750836902
2021-10-05,24104.150390625,24180.080078125,23681.439453125,23771.650390625,1717000000,0.0028199454586275152
2021-10-06,23966.490234375,24259.19921875,23812.349609375,24259.19921875,1878700000,-0.005711056146726512
2021-10-07,24701.73046875,24741.279296875,24310.109375,24339.3203125,1764600000,0.03067784340489066
2021-10-08,24837.849609375,25064.80078125,24595.580078125,25064.80078125,2359000000,0.00551051031818206
2021-10-11,25325.08984375,25437.16015625,25161.80078125,25161.80078125,2114300000,0.01961684453516832
2021-10-12,24962.58984375,25188.779296875,24865.80078125,24995.94921875,1835300000,-0.014313868271999874
2021-10-15,25330.9609375,25330.9609375,24929.560546875,25187.05078125,2345200000,0.014756926106456403
2021-10-18,25409.75,25425.3203125,25123.25,25425.3203125,1648000000,0.0031103858513066296
2021-10-19,25787.2109375,25808.619140625,25458.029296875,25471.25,1671200000,0.014854964629718914
2021-10-20,26136.01953125,26214.630859375,25915.619140625,26074.19921875,1823600000,0.013526417982751227
2021-10-21,26017.529296875,26229.80078125,25840.58984375,26141.849609375,2085100000,-0.004533599090455365
2021-10-22,26126.9296875,26195.2890625,25976.029296875,26114.83984375,1699600000,0.004204872391097458
2021-10-25,26132.029296875,26212.900390625,25929.669921875,26020.779296875,1455200000,0.00019518594170819803
2021-10-26,26038.26953125,26234.939453125,25905.080078125,26234.939453125,1533500000,-0.003587925168758832
2021-10-27,25628.740234375,25795.169921875,25555.169921875,25795.169921875,1620800000,-0.015727976714562386
2021-10-28,25555.73046875,25736.380859375,25473.16015625,25648.419921875,2021100000,-0.0028487457813893835
2021-10-29,25377.240234375,25516.220703125,25314.240234375,25466.859375,2051300000,-0.006984352671635108
2021-11-01,25154.3203125,25270.41015625,24972.5,25268.349609375,1586700000,-0.008784246033697651
2021-11-02,25099.669921875,25639.66015625,25030.689453125,25609.009765625,1964600000,-0.0021726045445100706
2021-11-03,25024.75,25187.08984375,24808.58984375,25060.9296875,1690500000,-0.0029848966981714797
2021-11-04,25225.189453125,25244.98046875,25010.359375,25141.099609375,1639500000,0.008009648572912864
2021-11-05,24870.509765625,25049.369140625,24724.390625,24950.6796875,2020700000,-0.014060536122398104
2021-11-08,24763.76953125,24837.76953125,24633.5703125,24743.5390625,1762600000,-0.004291839426730726
2021-11-09,24813.130859375,24956.369140625,24678.66015625,24952.8203125,1154700000,0.0019932881406730107
2021-11-10,24996.140625,25013.109375,24481.259765625,24787.439453125,1688100000,0.007375520915203326
2021-11-11,25247.990234375,25324.66015625,24836.2109375,24856.109375,2001900000,0.01007553978645448
2021-11-12,25327.970703125,25527.130859375,25210.560546875,25522.830078125,1632100000,0.0031677954564917066
2021-11-15,25390.91015625,25483.259765625,25230.330078125,25437.990234375,1155800000,0.0024849781240956492
2021-11-16,25713.779296875,25746.7109375,25410.869140625,25446.650390625,1528800000,0.012715934113355365
2021-11-17,25650.080078125,25667.810546875,25520.669921875,25667.810546875,1193800000,-0.002477240627080546
2021-11-18,25319.720703125,25414.2109375,25222.599609375,25369.880859375,1342900000,-0.012879467588163163
2021-11-19,25049.970703125,25077.150390625,24825.4296875,24934.400390625,1640400000,-0.010653751009453538
2021-11-22,24951.33984375,25099.94921875,24869.939453125,25057.060546875,1510400000,-0.003937364260577558
2021-11-23,24651.580078125,24794.720703125,24618.740234375,24688.990234375,1486300000,-0.012013774310403846
2021-11-24,24685.5,24851.529296875,24557.630859375,24672.099609375,1791000000,0.0013759735387144367
2021-11-25,24740.16015625,24762.609375,24532.8203125,24699.689453125,1188600000,0.002214261661704242
2021-11-26,24080.51953125,24502.6796875,24062.259765625,24502.6796875,1804100000,-0.02666274675806246
2021-11-29,23852.240234375,24134.3203125,23774.310546875,23910.490234375,1741000000,-0.009479832716181913
2021-11-30,23475.259765625,23888.369140625,23175.369140625,23782.859375,3344900000,-0.015804824412539165
2021-12-01,23658.919921875,23864.30078125,23537.650390625,23595.5703125,2118600000,0.007823562255908856
2021-12-02,23788.9296875,23807.0,23517.51953125,23524.05078125,2328200000,0.005495169097081032
2021-12-03,23766.689453125,23802.76953125,23451.9296875,23675.259765625,2717900000,-0.0009348984871180299
2021-12-06,23349.380859375,23628.30078125,23314.970703125,23420.439453125,2357400000,-0.017558549522559974
2021-12-07,23983.66015625,23989.779296875,23512.5,23704.509765625,2120300000,0.02716471587383995
2021-12-08,23996.869140625,24097.98046875,23907.30078125,24090.01953125,1778600000,0.0005507493138638964
2021-12-09,24254.859375,24324.83984375,24153.720703125,24168.41015625,1743300000,0.010750995592931023
2021-12-10,23995.720703125,24214.6796875,23916.630859375,24070.560546875,1413900000,-0.010683989870586497
